STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"2019 January Voter Registration - January 01, 2019",,,,,,,,,,,,,,,,
Compiled and Issued by the Arizona Secretary of State,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,
County,Precincts,,Date/Period,,,Democratic,,,Green,Libertarian,Republican,,Other,,Total,
Pima,,,,26,"1,778",,,25,,90,,"3,040",,"3,128",,"8,061"
Pinal,,,,60,"3,113",,,18,,74,,"2,646",,"5,601",,"11,452"
Yavapai,,,,7,570,,,15,,29,,633,,"1,296",,"2,543"
Total:,,,,279,"16,563",,,160,,516,,"14,996",,"24,550",,"56,785"
,,,,,,,,,,,,,,,,
Congressional District 2,,,,,,,,,,,,,,,,
Cochise,,,,49,"3,340",,,36,,130,,"4,650",,"6,848",,"15,004"
Pima,,,,146,"15,815",,,248,,627,,"13,864",,"23,612",,"54,166"
Total:,,,,195,"19,155",,,284,,757,,"18,514",,"30,460",,"69,170"
,,,,,,,,,,,,,,,,
Congressional District 3,,,,,,,,,,,,,,,,
Maricopa,,,,47,"5,335",,,30,,195,,"3,824",,"9,455",,"18,839"
Pima,,,,77,"8,106",,,125,,214,,"3,766",,"9,378",,"21,589"
Pinal,,,,1,11,,,0,,0,,2,,4,,17
